№ вагона;Собственник вагона;аренда;куда в ремонт;рамы;КП;Ст. отправления;Дорога отпр;Грузоотправитель (факт);Ст. назначения;Дорога назн;Грузополучатель (факт);Ст. операции;Дорога операции;Груз;Вес;№ накладной;Дата отправки вагона;Дата операции;Дата прибытия;Дата прибытия ПЛАН;срок доставки ЭТРАН
52619319;КРТ;Карретера;#N/A;#N/A;#N/A;ПОЗДЕЕВКА;ЗАБ;"ООО ""Агрологистика-Дальний Восток""";ДЖАМБАЙ;УЗБ;"Семейное предприятие ""YUNUSJON AHLI""";ИНСКАЯ;ЗСБ;ЗЕРНО БОБОВ;67;27181479;14.05.2019;22.05.2019;;;21.06.2019
29282795;КРТ;#N/A;#N/A;#N/A;#N/A;ГВАРДЕЙСК;КЛГ;"ООО ""Торговое представительство ХЛ""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ552646;17.05.2019;18.05.2019;18.05.2019;31.05.2019;20.05.2019
52658689;КРТ;Карретера;#N/A;#N/A;#N/A;ПОЗДЕЕВКА;ЗАБ;"ООО ""Агрологистика-Дальний Восток""";ДЖАМБАЙ;УЗБ;"Семейное предприятие ""YUNUSJON AHLI""";ВОЗЖАЕВКА;ЗАБ;ЗЕРНО БОБОВ;67;27242903;22.05.2019;22.05.2019;;;29.06.2019
28830743;КРТ;Рузгард;#N/A;#N/A;#N/A;ПОЗДЕЕВКА;ЗАБ;"ООО ""Агрологистика-Дальний Восток""";ДЖАМБАЙ;УЗБ;"Семейное предприятие ""YUNUSJON AHLI""";КРАСНОЯРСК-ВОСТОЧНЫЙ;КРС;ЗЕРНО БОБОВ;67;27198783;15.05.2019;22.05.2019;;;22.06.2019
55000541;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;БЕЛОЕ ОЗЕРО;КБШ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЛУЖСКАЯ;ОКТ;ПШЕНИЦА;70;ЭИ779022;01.05.2019;11.05.2019;;12.05.2019;18.05.2019
59947762;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ДОСАТУЙ;ЗАБ;"Акционерное общество ""Племенной завод ""Комсомолец""";ПЕРМЬ2;СВР;"АО ""Пермский мукомольный завод""";ПЕРМЬ2;СВР;ПШЕНИЦА;64;ЭЙ065503;09.05.2019;21.05.2019;20.05.2019;;25.05.2019
53260238;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;МЕЛЕУЗ;КБШ;"Общество с ограниченной ответственностью ""РЕЗЕРВ-ЛТД""";ГЛАЗОВ;ГОР;"хххООО ""Глазовский ККЗ""";СТЕРЛИТАМАК;КБШ;ПШЕНИЦА;70;ЭЙ688420;21.05.2019;22.05.2019;;;27.05.2019
55000285;94м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";АРГАЯШ;ЮУР;"ЗАО ""Уралбройлер""";СМОЛЕНСК-СОРТИРОВОЧНЫЙ;МСК;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;55;27233408;20.05.2019;22.05.2019;;01.06.2019;07.06.2019
53259008;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;УЛУСАРКА;ЮВС;"ООО ""БАЛТСЕРВИС""";ПАЛЛАСОВКА;ПРВ;"ОАО ""Палласовский элеватор""";ПАЛЛАСОВКА;ПРВ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭГ453548;09.01.2019;15.01.2019;15.01.2019;;15.01.2019
59947739;94м3;#N/A;#N/A;#N/A;норм;КАЛИНИНГРАД-СОРТИРОВОЧНЫЙ;КЛГ;"ООО ""БАЛТСЕРВИС""";ПАЛЛАСОВКА;ПРВ;"ОАО ""Палласовский элеватор""";ПАЛЛАСОВКА;ПРВ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;26527380;05.01.2019;15.01.2019;15.01.2019;;18.01.2019
55000673;94м3;#N/A;#N/A;#N/A;норм;КРУГЛОЕ ПОЛЕ;КБШ;"ООО ""БАЛТСЕРВИС""";БУГУЛЬМА;КБШ;Индивидуальный предприниматель Кривоплясов Андрей Николаевич;БУГУЛЬМА;КБШ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ641342;20.05.2019;22.05.2019;;23.05.2019;24.05.2019
53258935;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ОТРОЖКА;ЮВС;"ООО ""БАЛТСЕРВИС""";КАРБЫШЕВО 2;ЗСБ;"ООО ""БАЛТСЕРВИС""";КАРБЫШЕВО 1;ЗСБ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ191478;10.05.2019;17.05.2019;;30.05.2019;21.05.2019
53259164;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";НОВОСИБИРСК-ЗАПАДНЫЙ;ЗСБ;"АО ""Кудряшовское""";КОКШАРОВСКИЙ;СВР;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;54;27215453;16.05.2019;22.05.2019;;03.06.2019;09.06.2019
53258851;94м3;#N/A;#N/A;#N/A;норм;НОВАЯ ЗАИМКА;СВР;"ООО ""БАЛТСЕРВИС""";ИШИМ;СВР;"открытое акционерное общество ""Вагонная ремонтная компания - 1""";ВИНЗИЛИ;СВР;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;ЭЙ218000;15.05.2019;22.05.2019;;22.05.2019;19.05.2019
53260113;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;МОСКВА-ТОВАРНАЯ-СМОЛЕНСКАЯ;МСК;"ООО ""БАЛТСЕРВИС""";КЕНЗИНО;КБШ;"ООО ""БАЛТСЕРВИС""";КЕНЗИНО;КБШ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ228853;10.05.2019;16.05.2019;16.05.2019;27.05.2019;17.05.2019
53259412;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;АЧИНСК 2;КРС;;АЧИНСК 2;КРС;;АЧИНСК 2;КРС;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;;;19.05.2019;;;
59947408;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ЛЬГОВ-КИЕВСКИЙ;МСК;"ООО ""БАЛТСЕРВИС""";КЛИМКИ;СВР;"ОАО ""СУАЛ"" филиал ""Богословский алюминевый завод-СУАЛ""";КЛИМКИ;СВР;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;ЭЙ084822;08.05.2019;22.05.2019;22.05.2019;;18.05.2019
53259107;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЧЕРНЯХОВСК;КЛГ;;ЧЕРНЯХОВСК;КЛГ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;ЭИ982830;07.05.2019;10.05.2019;09.05.2019;17.06.2019;11.05.2019
59947440;94м3;#N/A;#N/A;#N/A;норм;КУРОРТ-БОРОВОЕ;КЗХ;;ШИПОВКА;КЛГ;;ШИПОВКА;КЛГ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;58;;;09.01.2019;;11.01.2019;
59453332;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ЛУГОВОЕ-НОВОЕ;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ445140;15.05.2019;16.05.2019;16.05.2019;22.05.2019;18.05.2019
59947275;94м3;#N/A;#N/A;#N/A;норм;СМОРГОНЬ;БЕЛ;;АЛБАБА;ГОР;"Общество с ограниченной ответственностью ""Дель-Транс-Агро""";АЛБАБА;ГОР;ЖМЫХИ;46;22410610;14.05.2019;21.05.2019;18.05.2019;22.05.2019;23.05.2019
59948018;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;СМОРГОНЬ;БЕЛ;;ОРЕНБУРГ;ЮУР;"ОАО ""Оренбургский комбикормовый завод""";ОРЕНБУРГ;ЮУР;ЖМЫХИ;57;22410604;14.05.2019;21.05.2019;17.05.2019;;26.05.2019
59453191;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ЛАТНАЯ;ЮВС;;ОТРОЖКА;ЮВС;;ВОРОНЕЖ-КУРСКИЙ;ЮВС;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;;;21.05.2019;;28.05.2019;
55000558;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;НАВЛЯ;МСК;"ООО ""НАВЛИНСКОЕ ХЛЕБОПРИЕМНОЕ ПРЕДПРИЯТИЕ""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;54;27114294;23.04.2019;01.05.2019;01.05.2019;02.05.2019;30.04.2019
59948059;94м3;#N/A;#N/A;#N/A;норм;ДЕМА;КБШ;"ООО ""БАЛТСЕРВИС""";АЧИНСК 2;КРС;Грузо-ль - ТГНЛ 2971 - Станция 88380 - Dec 10 2014;ЮРГАМЫШ;ЮУР;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;ЭЙ521469;20.05.2019;22.05.2019;;;30.05.2019
59947929;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;Неизвестный пункт;;;ШИПОВКА;КЛГ;;ШИПОВКА;КЛГ;ЖМЫХИ;44;;;14.04.2019;;;
59947143;94м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЧЕРНЯХОВСК;КЛГ;;ЧЕРНЯХОВСК;КЛГ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;ЭЙ264745;13.05.2019;17.05.2019;14.05.2019;23.06.2019;17.05.2019
59948109;94м3;#N/A;#N/A;#N/A;норм;Неизвестный пункт;;;БОГАНДИНСКАЯ;СВР;;БОГАНДИНСКАЯ;СВР;ЖМЫХИ;57;;;21.05.2019;;;
53260121;94м3;#N/A;#N/A;#N/A;норм;БЕЖЕЦК;ОКТ;"ООО ""БАЛТСЕРВИС""";МОРШАНСК;КБШ;"ООО ""БАЛТСЕРВИС""";МОРШАНСК;КБШ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ153318;11.05.2019;19.05.2019;19.05.2019;;17.05.2019
59453027;94м3;#N/A;#N/A;#N/A;норм;КРАСНОЯРСК-СЕВЕРНЫЙ;КРС;"ООО ""БАЛТСЕРВИС""";АЧИНСК 2;КРС;Грузо-ль - ТГНЛ 2971 - Станция 88380 - Dec 10 2014;КРАСНОЯРСК-СЕВЕРНЫЙ;КРС;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ684887;21.05.2019;22.05.2019;;04.06.2019;25.05.2019
59947549;94м3;#N/A;#N/A;#N/A;норм;КАРГАЛА;ЮУР;"ООО ""БАЛТСЕРВИС""";ТОПЧИХА;ЗСБ;"ООО ""ПО ""ТОПЧИХИНСКИЙ МЕЛЬКОМБИНАТ""";ВХОДНАЯ;ЗСБ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ308519;16.05.2019;22.05.2019;;;26.05.2019
53258943;94м3;#N/A;#N/A;#N/A;норм;МОСКВА-ТОВАРНАЯ-СМОЛЕНСКАЯ;МСК;"ООО ""БАЛТСЕРВИС""";МОРШАНСК;КБШ;"ООО ""БАЛТСЕРВИС""";МОРШАНСК;КБШ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ230854;10.05.2019;14.05.2019;14.05.2019;;17.05.2019
59453480;94м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЛУГОВОЕ-НОВОЕ;КЛГ;"ОАО ""Российские Железные Дороги""";ЛУГОВОЕ-НОВОЕ;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ732640;01.05.2019;01.05.2019;01.05.2019;08.05.2019;04.05.2019
59946723;94м3;#N/A;#N/A;#N/A;норм;ЛУГОВОЕ-НОВОЕ;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ445140;15.05.2019;16.05.2019;16.05.2019;22.05.2019;18.05.2019
59453324;94м3;#N/A;#N/A;#N/A;норм;БОГОЯВЛЕНСК;ЮВС;"ООО ""БАЛТСЕРВИС""";КАРБЫШЕВО 2;ЗСБ;"ООО ""БАЛТСЕРВИС""";КАРБЫШЕВО 2;ЗСБ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ096559;08.05.2019;21.05.2019;17.05.2019;;19.05.2019
53259271;94м3;#N/A;СТЖ;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ПОМАРЫ;ГОР;"ООО ""Птицефабрика Акашевская""";КАЙШЯДОРИС;ЛИТ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;55;27233453;21.05.2019;22.05.2019;;30.05.2019;02.06.2019
59453159;94м3;#N/A;СТЖ;#N/A;ТОНКОМЕР;НАУШКИ (ЭКСП. КЖД );ВСБ;Erenhot XinShengDa Trading CO Ltd;ДОСАТУЙ;ЗАБ;"Акционерное общество ""Племенной завод ""Комсомолец""";ДОСАТУЙ;ЗАБ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;4405884;11.05.2019;18.05.2019;18.05.2019;;21.05.2019
59948174;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;КАРБЫШЕВО 2;ЗСБ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;58;27173463;07.05.2019;17.05.2019;17.05.2019;20.05.2019;27.05.2019
55000392;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;УЖУР;КРС;"ООО ""Элеватор""";ГАТЧИНА-ТОВАРНАЯ-БАЛТИЙСКАЯ;ОКТ;"АО ""ГАТЧИНСКИЙ ККЗ""";КРАСНАЯ СОПКА;КРС;ПШЕНИЦА;67;ЭЙ684493;21.05.2019;22.05.2019;;;14.06.2019
55000517;94м3;#N/A;#N/A;#N/A;норм;СМОРГОНЬ;БЕЛ;;ШИПОВКА;КЛГ;;ШИПОВКА;КЛГ;ЖМЫХИ;43;;;13.04.2019;;14.04.2019;
59947648;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ТУЛИНОВО;ЮВС;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";МОЛОДЕЧНО;БЕЛ;ЗЕРНО БОБОВ;65;27226369;17.05.2019;22.05.2019;;28.05.2019;27.05.2019
53259222;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;АЛЛАГУВАТ;КБШ;ООО «Компания Арсал»;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;57;27183725;08.05.2019;19.05.2019;19.05.2019;21.05.2019;25.05.2019
53259438;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;АЧИНСК 1;КРС;"Общество с ограниченной ответственностью "" Хозяин""";СМОРГОНЬ;БЕЛ;"ООО ""Белагротерминал""";БЕКАСОВО-СОРТИРОВОЧНОЕ;МСК;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;55;27214874;15.05.2019;22.05.2019;;28.05.2019;08.06.2019
59947812;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;БЕРЕСТОВИЦА;БЕЛ;;ШИПОВКА;КЛГ;;КАЛИНИНГРАД-СОРТИРОВОЧНЫЙ;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;;;21.05.2019;;;
53259040;94м3;#N/A;#N/A;#N/A;норм;БЕЛОЕ ОЗЕРО;КБШ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЛУЖСКАЯ;ОКТ;ПШЕНИЦА;70;ЭИ779022;01.05.2019;11.05.2019;;12.05.2019;18.05.2019
59946814;94м3;#N/A;#N/A;#N/A;норм;ТОЛМАЧЕВО;ОКТ;"ООО ""БАЛТСЕРВИС""";ИВАНОВО-СОРТИРОВОЧНОЕ;СЕВ;ЖЕЛЕЗНОДОРОЖНАЯ СТАНЦИЯ АЛТАЙСКАЯ;ЯРОСЛАВЛЬ-ГЛАВНЫЙ;СЕВ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ087809;13.05.2019;21.05.2019;;20.05.2019;19.05.2019
53260287;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ТУЛИНОВО;ЮВС;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";МОЛОДЕЧНО;БЕЛ;ЗЕРНО БОБОВ;66;27226369;17.05.2019;22.05.2019;;28.05.2019;27.05.2019
59948158;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;УФА;КБШ;"ООО ""БАЛТСЕРВИС""";КЛИМКИ;СВР;"ОАО ""СУАЛ"" филиал ""Богословский алюминевый завод-СУАЛ""";ДЕМА;КБШ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ738932;21.05.2019;22.05.2019;;;27.05.2019
53259172;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;КОМАРИЧИ;МСК;"ООО ""БАЛТСЕРВИС""";КЛИМКИ;СВР;"ОАО ""СУАЛ"" филиал ""Богословский алюминевый завод-СУАЛ""";КЛИМКИ;СВР;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ712629;04.05.2019;14.05.2019;14.05.2019;;14.05.2019
55000640;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ЛУГОВОЕ-НОВОЕ;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ604686;18.05.2019;19.05.2019;19.05.2019;25.05.2019;21.05.2019
55000947;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;СМОРГОНЬ;БЕЛ;;СЕРЕБРЯНЫЕ ПРУДЫ;МСК;;СЕРЕБРЯНЫЕ ПРУДЫ;МСК;ЖМЫХИ;50;;;21.05.2019;;23.05.2019;
59946665;94м3;#N/A;#N/A;#N/A;норм;УЛУСАРКА;ЮВС;"ООО ""БАЛТСЕРВИС""";КЛИМКИ;СВР;"ОАО ""СУАЛ"" филиал ""Богословский алюминевый завод-СУАЛ""";УЛУСАРКА;ЮВС;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ698870;21.05.2019;22.05.2019;;;31.05.2019
59453050;94м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ПОДБЕРЕЗЬЕ;ОКТ;"ОАО  ""Подберезский комбинат хлебопродуктов""";ШУМИЛИНО;БЕЛ;ШРОТ КОРМОВОЙ, НЕ ПОИМЕНОВАННЫЙ В АЛФАВИТЕ;57;27233360;20.05.2019;22.05.2019;;29.05.2019;29.05.2019
59947911;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ТОЛМАЧЕВО;ОКТ;"ООО ""БАЛТСЕРВИС""";ИВАНОВО-СОРТИРОВОЧНОЕ;СЕВ;ЖЕЛЕЗНОДОРОЖНАЯ СТАНЦИЯ АЛТАЙСКАЯ;ЯРОСЛАВЛЬ-ГЛАВНЫЙ;СЕВ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ087809;13.05.2019;21.05.2019;;20.05.2019;19.05.2019
53259016;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;АЛЛАГУВАТ;КБШ;ООО «Компания Арсал»;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;58;27183725;08.05.2019;19.05.2019;19.05.2019;21.05.2019;25.05.2019
55000913;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ШУМИХА;ЮУР;;НАУШКИ (ЭКСП. КЖД );ВСБ;Коммерческая Торговая компания с ОО Амугэ Внутренняя Монголия /Inner Mongolia Amuge Trade Co. Ltd;АЗЕЙ;ВСБ;СЕМЕНА ЛЬНА;59;27229273;17.05.2019;22.05.2019;;07.06.2019;14.06.2019
59947333;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;АРЗАМАС 2;ГОР;;КИНЕЛЬ;КБШ;;КИНЕЛЬ;КБШ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;;;20.05.2019;;25.04.2019;
59948224;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;АЧИНСК 1;КРС;"Общество с ограниченной ответственностью "" Хозяин""";СМОРГОНЬ;БЕЛ;"ООО ""Белагротерминал""";БЕКАСОВО-СОРТИРОВОЧНОЕ;МСК;СЕМЕНА МАСЛИЧНЫХ КУЛЬТУР, НЕ ПОИМЕНОВАННЫЕ В АЛФАВИТЕ;55;27209136;14.05.2019;22.05.2019;;28.05.2019;08.06.2019
59947978;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;АРДЫМ;ЮВС;"ООО ""БАЛТСЕРВИС""";ОТРОЖКА;ЮВС;"Юго-Восточная дирекция по управлению терминально-складским комплексом-структурное подразделение Центральной дирекции по управлению терминально-складским комплексом-филиала открытого акционерного общества ""Российские железные дороги""";КОЛЫШЛЕЙ;ЮВС;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые для очистки, промывки или дезинфекции или из очистки, промывки или дезинфекции;0;ЭЙ730326;21.05.2019;22.05.2019;;30.05.2019;27.05.2019
59453043;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;БАГАН;ЗСБ;"ООО ""БАЛТСЕРВИС""";АЧИНСК 2;КРС;Грузо-ль - ТГНЛ 2971 - Станция 88380 - Dec 10 2014;БОГОТОЛ;КРС;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ773219;17.05.2019;21.05.2019;;;23.05.2019
59948166;94м3;#N/A;СТЖ;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ЧЕРНЯХОВСК;КЛГ;;ЧЕРНЯХОВСК;КЛГ;Вагоны железнодорожные порожние, перевозимые на своих осях, пересылаемые в ремонт или из ремонта;0;ЭИ775787;02.05.2019;06.05.2019;02.05.2019;12.06.2019;06.05.2019
59946707;94м3;#N/A;#N/A;#N/A;норм;ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";БАЛТИЙСКИЙ ЛЕС;КЛГ;;БАЛТИЙСКИЙ ЛЕС;КЛГ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭИ134366;18.04.2019;18.04.2019;18.04.2019;25.04.2019;21.04.2019
55000863;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;ОЖЕРЕЛЬЕ;МСК;"ООО ""БАЛТСЕРВИС""";ТОПЧИХА;ЗСБ;"ООО ""ПО ""ТОПЧИХИНСКИЙ МЕЛЬКОМБИНАТ""";ТОПЧИХА;ЗСБ;ВАГОНЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВСЯКИЕ, ПЕРЕВОЗИМЫЕ НА СВОИХ ОСЯХ;0;ЭЙ149866;11.05.2019;21.05.2019;21.05.2019;;23.05.2019
59948133;94м3;#N/A;#N/A;#N/A;ТОНКОМЕР;БЕЛОЕ ОЗЕРО;КБШ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;"ООО ""БАЛТСЕРВИС""";ШИПОВКА;КЛГ;ПШЕНИЦА;70;26966593;27.03.2019;06.04.2019;06.04.2019;07.04.2019;12.04.2019
59948000;94м3;#N/A;#N/A;#N/A;норм;КРАСНОЯРСК-СЕВЕРНЫЙ;КРС;;КРАСНОЯРСК-СЕВЕРНЫЙ;КРС;;КРАСНОЯРСК-СЕВЕРНЫЙ;КРС;ГЛИНОЗЕМ;67;;;22.05.2019;;24.05.2019;
